* Measurement data measured by REW V5.19
* Source: ?ио??? (Umik-1  Gain: 18dB  , MICROPHONE (?б┬??), L, volume: 0.530
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Oct 12, 2021 10:59:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 87.4 dB
* Note: focus_l
* Measurement: L
* Smoothing: Variable
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
190.429688 95.184 -136.0907
190.795898 95.197 -137.2583
191.162109 95.206 -138.3975
191.528320 95.210 -139.5056
191.894531 95.210 -140.5808
192.260742 95.207 -141.6218
192.626953 95.201 -142.6273
192.993164 95.192 -143.5964
193.359375 95.181 -144.5291
193.725586 95.168 -145.4253
194.091797 95.154 -146.2855
194.458008 95.140 -147.1107
194.824219 95.124 -147.9021
195.190430 95.109 -148.6611
195.556641 95.094 -149.3898
195.922852 95.079 -150.0897
196.289062 95.065 -150.7632
196.655273 95.052 -151.4125
197.021484 95.041 -152.0397
197.387695 95.030 -152.6471
197.753906 95.021 -153.2369
198.120117 95.013 -153.8113
198.486328 95.006 -154.3722
198.852539 95.001 -154.9216
199.218750 94.997 -155.4612
199.584961 94.994 -155.9927
199.951172 94.992 -156.5176
200.317383 94.991 -157.0371
200.683594 94.991 -157.5525
201.049805 94.991 -158.0649
201.416016 94.993 -158.5752
201.782227 94.995 -159.0841
202.148438 94.997 -159.5923
202.514648 94.999 -160.1003
202.880859 95.002 -160.6086
203.247070 95.004 -161.1174
203.613281 95.007 -161.6270
203.979492 95.009 -162.1372
204.345703 95.011 -162.6484
204.711914 95.012 -163.1604
205.078125 95.013 -163.6731
205.444336 95.014 -164.1865
205.810547 95.013 -164.7003
206.176758 95.013 -165.2144
206.542969 95.011 -165.7283
206.909180 95.009 -166.2421
207.275391 95.005 -166.7554
207.641602 95.002 -167.2681
208.007812 94.997 -167.7798
208.374023 94.991 -168.2905
208.740234 94.985 -168.8000
209.106445 94.978 -169.3081
209.472656 94.969 -169.8146
209.838867 94.960 -170.3193
210.205078 94.951 -170.8223
210.571289 94.940 -171.3232
210.937500 94.928 -171.8220
211.303711 94.916 -172.3184
211.669922 94.902 -172.8124
212.036133 94.888 -173.3037
212.402344 94.873 -173.7922
212.768555 94.857 -174.2776
213.134766 94.840 -174.7595
213.500977 94.822 -175.2378
213.867188 94.803 -175.7122
214.233398 94.783 -176.1823
214.599609 94.762 -176.6477
214.965820 94.740 -177.1080
215.332031 94.718 -177.5630
215.698242 94.694 -178.0121
216.064453 94.669 -178.4550
216.430664 94.644 -178.8911
216.796875 94.617 -179.3202
217.163086 94.590 -179.7417
217.529297 94.562 179.8446
217.895508 94.533 179.4393
218.261719 94.503 179.0427
218.627930 94.472 178.6554
218.994141 94.441 178.2775
219.360352 94.409 177.9094
219.726562 94.376 177.5515
220.092773 94.343 177.2040
220.458984 94.309 176.8672
220.825195 94.275 176.5415
221.191406 94.241 176.2268
221.557617 94.206 175.9236
221.923828 94.171 175.6318
222.290039 94.136 175.3516
222.656250 94.101 175.0830
223.022461 94.065 174.8259
223.388672 94.031 174.5804
223.754883 93.996 174.3464
224.121094 93.961 174.1238
224.487305 93.927 173.9121
224.853516 93.894 173.7112
225.219727 93.861 173.5205
225.585938 93.829 173.3400
225.952148 93.798 173.1689
226.318359 93.767 173.0068
226.684570 93.738 172.8530
227.050781 93.710 172.7068
227.416992 93.683 172.5676
227.783203 93.657 172.4348
228.149414 93.632 172.3073
228.515625 93.609 172.1843
228.881836 93.587 172.0653
229.248047 93.566 171.9491
229.614258 93.547 171.8350
229.980469 93.530 171.7222
230.346680 93.513 171.6096
230.712891 93.498 171.4967
231.079102 93.484 171.3826
231.445312 93.472 171.2666
231.811523 93.461 171.1479
232.177734 93.451 171.0259
232.543945 93.441 170.8999
232.910156 93.433 170.7695
233.276367 93.426 170.6343
233.642578 93.420 170.4934
234.008789 93.414 170.3469
234.375000 93.409 170.1943
234.741211 93.405 170.0353
235.107422 93.400 169.8698
235.473633 93.396 169.6975
235.839844 93.393 169.5186
236.206055 93.389 169.3328
236.572266 93.385 169.1403
236.938477 93.381 168.9412
237.304688 93.377 168.7354
237.670898 93.373 168.5234
238.037109 93.368 168.3054
238.403320 93.363 168.0815
238.769531 93.357 167.8523
239.135742 93.350 167.6179
239.501953 93.342 167.3789
239.868164 93.334 167.1357
240.234375 93.325 166.8889
240.600586 93.315 166.6389
240.966797 93.303 166.3865
241.333008 93.291 166.1318
241.699219 93.277 165.8760
242.065430 93.263 165.6193
242.431641 93.247 165.3625
242.797852 93.230 165.1064
243.164062 93.211 164.8518
243.530273 93.192 164.5991
243.896484 93.171 164.3494
244.262695 93.148 164.1029
244.628906 93.125 163.8608
244.995117 93.100 163.6235
245.361328 93.074 163.3921
245.727539 93.046 163.1667
246.093750 93.018 162.9485
